#q2lo q2hi qTlo qThi PDF0  uncertainty
124.974 124.976 25 30 2.642438243017274e-09 1.496662619652519e-14
124.974 124.976 30 35 1.864350364890603e-09 8.645079238882962e-15
124.974 124.976 35 40 1.300085724438104e-09 5.423400579565767e-15
124.976 124.978 0 5 5.666941991991038e-09 2.048194778782469e-13
124.976 124.978 5 10 9.714231284903568e-09 2.257886014602718e-14
124.976 124.978 10 15 8.219808149663924e-09 1.552454497975956e-13
124.976 124.978 15 20 6.102809031786845e-09 4.958355464780135e-14
124.976 124.978 20 25 4.38675948122519e-09 4.522221580595187e-14
124.976 124.978 25 30 3.119310641527118e-09 1.562221783634363e-14
124.976 124.978 30 35 2.200815921335096e-09 8.762937251912595e-15
124.976 124.978 35 40 1.534726552650024e-09 5.396704580542198e-15
124.978 124.98 0 5 6.789804004860641e-09 2.52145579015071e-13
124.978 124.98 5 10 1.163910435515854e-08 3.876016350030231e-14
124.978 124.98 10 15 9.848623825575019e-09 1.760241450859529e-13
124.978 124.98 15 20 7.312165350403091e-09 5.202656473748697e-14
124.978 124.98 20 25 5.25608315679007e-09 5.945323528776277e-14
124.978 124.98 25 30 3.737483132147628e-09 1.494954802087122e-14
124.978 124.98 30 35 2.636979417200961e-09 7.841877172432326e-15
124.978 124.98 35 40 1.838894686477141e-09 4.613394026341391e-15
124.98 124.982 0 5 8.281297546620365e-09 3.207350595833927e-13
124.98 124.982 5 10 1.419591425185347e-08 7.014347697614007e-14
124.98 124.982 10 15 1.20121874898776e-08 1.952175534105402e-13
124.98 124.982 15 20 8.918563526342018e-09 4.904489118521802e-14
124.98 124.982 20 25 6.410816020986218e-09 8.28138673727012e-14
124.98 124.982 25 30 4.558611047625552e-09 1.087583600141093e-14
124.98 124.982 30 35 3.216343640182804e-09 4.375255845049365e-15
124.98 124.982 35 40 2.242928303425496e-09 2.008892979698431e-15
124.982 124.984 0 5 1.032156517934212e-08 4.274648490547852e-13
124.982 124.984 5 10 1.769347740610906e-08 1.353285820400061e-13
124.982 124.984 10 15 1.497182286267053e-08 2.025708327265811e-13
124.982 124.984 15 20 1.111603334294741e-08 3.09597791384181e-14
124.982 124.984 20 25 7.990434972837487e-09 1.248041480378803e-13
124.982 124.984 25 30 5.681877414372657e-09 1.851322835269947e-15
124.982 124.984 30 35 4.0088902809661e-09 5.413652773241508e-15
124.982 124.984 35 40 2.795631645822694e-09 5.072801987929177e-15
124.984 124.986 0 5 1.32151596748485e-08 6.106633727380658e-13
124.984 124.986 5 10 2.265388624074144e-08 2.826052046244722e-13
124.984 124.986 10 15 1.916933084143673e-08 1.66465981448019e-13
124.984 124.986 15 20 1.423260722073805e-08 2.918421320776054e-14
124.984 124.986 20 25 1.023074403011482e-08 2.090859349240929e-13
124.984 124.986 25 30 7.27496440444545e-09 3.752419101401997e-14
124.984 124.986 30 35 5.132932922068853e-09 3.172817309769024e-14
124.984 124.986 35 40 3.579515077744758e-09 2.3784574840304e-14
124.986 124.988 0 5 1.750942703062193e-08 9.704318739738524e-13
124.986 124.988 5 10 3.001545344051715e-08 6.524044177693364e-13
124.986 124.988 10 15 2.539872438566912e-08 1.538308178902837e-14
124.986 124.988 15 20 1.885783208219791e-08 2.135585766034009e-13
124.986 124.988 20 25 1.355553577672033e-08 4.023953034645843e-13
124.986 124.988 25 30 9.639234845543587e-09 1.390637779343576e-13
124.986 124.988 30 35 6.801108176705838e-09 1.050649144142599e-13
124.986 124.988 35 40 4.74286888803835e-09 7.546041352403263e-14
124.988 124.99 0 5 2.426668089490899e-08 1.816890688429648e-12
124.988 124.99 5 10 4.15993019594998e-08 1.716229176778923e-12
124.988 124.99 10 15 3.52010655127683e-08 7.100406660465147e-13
124.988 124.99 15 20 2.613593315050572e-08 8.067065695584872e-13
124.988 124.99 20 25 1.878733127965738e-08 9.240603744306709e-13
124.988 124.99 25 30 1.335959198600874e-08 4.536853168367577e-13
124.988 124.99 30 35 9.426114709179785e-09 3.297038245829328e-13
124.988 124.99 35 40 6.573504822689376e-09 2.329496672324957e-13
124.99 124.992 0 5 3.576262368883462e-08 9.09105154860819e-13
124.99 124.992 5 10 6.13082327573423e-08 5.383046524732567e-12
124.99 124.992 10 15 5.1878970908407e-08 3.465102589973096e-12
124.99 124.992 15 20 3.851907826119517e-08 2.983156318297198e-12
124.99 124.992 20 25 2.768886230112168e-08 2.649753641795108e-12
124.99 124.992 25 30 1.968953474264314e-08 1.585503969931759e-12
124.99 124.992 30 35 1.38924033310428e-08 1.13275584837499e-12
124.99 124.992 35 40 9.688230818545831e-09 7.943752373211195e-13
124.992 124.994 0 5 5.755928898306718e-08 1.436822765480937e-12
124.992 124.994 5 10 9.867510586349409e-08 3.881963474562894e-14
124.992 124.994 10 15 8.350065669646289e-08 1.360752182723994e-12
124.992 124.994 15 20 6.199736509711996e-08 5.100559807354935e-13
124.992 124.994 20 25 4.456547743160408e-08 2.492851492245134e-13
124.992 124.994 25 30 3.169101602154947e-08 1.866528753136653e-13
124.992 124.994 30 35 2.236043044282294e-08 1.144798732846298e-13
