#q2lo q2hi qTlo qThi PDF0  uncertainty
124.968 124.972 65 70 -3.667540094440589e-11 2.744789425085144e-15
124.968 124.972 70 75 -1.794699786018118e-10 4.052293441637003e-15
124.968 124.972 75 80 -2.839670870834918e-10 5.020023129394383e-15
124.968 124.972 80 85 -3.593181435340139e-10 5.715046543356078e-15
124.968 124.972 85 90 -4.123907232162354e-10 6.193871161238361e-15
124.968 124.972 90 95 -4.483795086896778e-10 6.501331948508572e-15
124.968 124.972 95 100 -4.712471739527393e-10 6.675775962372654e-15
124.972 124.976 0 5 1.340932869530626e-08 9.163654466203232e-13
124.972 124.976 5 10 2.312825688036725e-08 5.316690525088543e-13
124.972 124.976 10 15 1.962952753543698e-08 3.92471510974302e-14
124.972 124.976 15 20 1.459036225419778e-08 1.843462783324801e-13
124.972 124.976 20 25 1.049227616545582e-08 3.241053229344549e-13
124.972 124.976 25 30 7.461918308215764e-09 1.17205195433056e-13
124.972 124.976 30 35 5.264764554336742e-09 8.802254828829888e-14
124.972 124.976 35 40 3.67106009941763e-09 6.30503264574147e-14
124.972 124.976 40 45 2.508311730391283e-09 4.319564459103565e-14
124.972 124.976 45 50 1.654350148727265e-09 2.785252339075159e-14
124.972 124.976 50 55 1.023633374551738e-09 1.615023946628407e-14
124.972 124.976 55 60 5.560147808785104e-10 7.294560960478213e-15
124.972 124.976 60 65 2.08783484892982e-10 6.940499467163061e-16
124.972 124.976 65 70 -4.874629267027452e-11 4.144360745453909e-15
124.972 124.976 70 75 -2.388817973724541e-10 7.782750911465556e-15
124.972 124.976 75 80 -3.780249488845196e-10 1.045967321021678e-14
124.972 124.976 80 85 -4.783604626442467e-10 1.238607741966189e-14
124.972 124.976 85 90 -5.490322557145301e-10 1.372856551470676e-14
124.972 124.976 90 95 -5.969568806194168e-10 1.461583143166511e-14
124.972 124.976 95 100 -6.274105322624773e-10 1.515166537448428e-14
124.976 124.98 0 5 1.872746775770523e-08 1.683154019008907e-12
124.976 124.98 5 10 3.230131864295314e-08 1.441634907362276e-12
124.976 124.98 10 15 2.741528208852496e-08 6.494491754492255e-13
124.976 124.98 15 20 2.037762953896591e-08 6.989044916166464e-13
124.976 124.98 20 25 1.465418467115757e-08 7.694577310380604e-13
124.976 124.98 25 30 1.042189968776845e-08 3.893504295243229e-13
124.976 124.98 30 35 7.353264365950352e-09 2.821186324101509e-13
124.976 124.98 35 40 5.127414170028604e-09 1.990394688225817e-13
124.976 124.98 40 45 3.503447895510456e-09 1.361491476486687e-13
124.976 124.98 45 50 2.310743874929517e-09 8.890104484099766e-14
124.976 124.98 50 55 1.429833145833239e-09 5.34897980081304e-14
124.976 124.98 55 60 7.767136332000795e-10 2.698622966411596e-14
124.976 124.98 60 65 2.917340542326217e-10 7.272163154510158e-15
124.976 124.98 65 70 -6.795929645297966e-11 3.181118635116843e-15
124.976 124.98 70 75 -3.33531338387419e-10 1.809694520512353e-14
124.976 124.98 75 80 -5.278799249440216e-10 2.604031148787539e-14
124.976 124.98 80 85 -6.680264228345912e-10 3.176242373218177e-14
124.976 124.98 85 90 -7.667416747139159e-10 3.577239449721625e-14
124.976 124.98 90 95 -8.336858021495653e-10 3.845915680795951e-14
124.976 124.98 95 100 -8.762279238973707e-10 4.012703472138083e-14
124.98 124.984 0 5 2.7966621078406e-08 9.568883194013979e-13
124.98 124.984 5 10 4.823936456905104e-08 4.763173496639842e-12
124.98 124.984 10 15 4.094297916696664e-08 3.188592887981159e-12
124.98 124.984 15 20 3.043302255650121e-08 2.691489650709273e-12
124.98 124.984 20 25 2.188541946350629e-08 1.285061730830784e-13
124.98 124.984 25 30 1.556493354869321e-08 1.423888217300814e-12
124.98 124.984 30 35 1.098209606759389e-08 1.015619620854314e-12
124.98 124.984 35 40 7.657890200705816e-09 7.116078411645083e-13
