#q2lo q2hi qTlo qThi PDF0  uncertainty
124.982 124.984 5 10 6.108864216920444e-09 1.419472939826054e-13
124.982 124.984 10 15 5.165660703550114e-09 1.086588231458849e-14
124.982 124.984 15 20 3.832969730685371e-09 4.914624781935713e-14
124.982 124.984 20 25 2.75361354880578e-09 8.589506291717837e-14
124.982 124.984 25 30 1.956874190663048e-09 3.115575435679463e-14
124.982 124.984 30 35 1.379757722989033e-09 2.337463184094116e-14
124.982 124.984 35 40 9.614035439761264e-10 1.672913134545916e-14
124.984 124.986 0 5 4.022176388921772e-09 2.880210781551468e-13
124.984 124.986 5 10 6.890721353594791e-09 2.616670874734389e-13
124.984 124.986 10 15 5.82681048652232e-09 9.836506381831354e-14
124.984 124.986 15 20 4.323554974335961e-09 1.19239597730613e-13
124.984 124.986 20 25 3.10605447382191e-09 1.426146284851948e-13
124.984 124.986 25 30 2.20734121377092e-09 6.77033323137154e-14
124.984 124.986 30 35 1.556359299557446e-09 4.932047826226978e-14
124.984 124.986 35 40 1.084459254094305e-09 3.486336464542988e-14
124.986 124.988 0 5 4.609451492105689e-09 4.604416215342648e-13
124.986 124.988 5 10 7.896837843713641e-09 5.239716965098184e-13
124.986 124.988 10 15 6.677588041526045e-09 3.026261915694904e-13
124.986 124.988 15 20 4.954841160421568e-09 2.77404494480814e-13
124.986 124.988 20 25 3.559571863426665e-09 2.643695335846829e-13
124.986 124.988 25 30 2.529636523557018e-09 1.494263135285543e-13
124.986 124.988 30 35 1.783603728601681e-09 1.071678309201795e-13
124.986 124.988 35 40 1.242800729928911e-09 7.524174511592115e-14
124.988 124.99 0 5 5.390838025438666e-09 1.36445491181239e-13
124.988 124.99 5 10 9.235722562836605e-09 1.220414889037867e-15
124.988 124.99 10 15 7.809864043759864e-09 1.256328551973646e-13
124.988 124.99 15 20 5.794943762258045e-09 4.632106279428359e-14
124.988 124.99 20 25 4.163037661379061e-09 2.447033804392577e-14
124.988 124.99 25 30 2.958522175966782e-09 1.672195985519124e-14
124.988 124.99 30 35 2.085996865123721e-09 1.018252449056308e-14
124.988 124.99 35 40 1.453500681014239e-09 6.589484747740267e-15
124.99 124.992 0 5 6.475211396761153e-09 1.608596683806378e-13
124.99 124.992 5 10 1.109345095984178e-08 4.573026200865088e-15
124.99 124.992 10 15 9.38073591885051e-09 1.524230796797271e-13
124.99 124.992 15 20 6.960499053902754e-09 5.718274766109021e-14
124.99 124.992 20 25 5.000336578983921e-09 2.776933315205518e-14
124.99 124.992 25 30 3.55354175097438e-09 2.093550122129738e-14
124.99 124.992 30 35 2.50551821505061e-09 1.284429558998898e-14
124.99 124.992 35 40 1.745805445333264e-09 8.34697100043465e-15
124.992 124.994 0 5 8.056666936129795e-09 1.874978934921385e-13
124.992 124.994 5 10 1.380268615034864e-08 2.25737360830785e-14
124.992 124.994 10 15 1.167154970957719e-08 2.013840545167672e-13
124.992 124.994 15 20 8.660181159401682e-09 8.081230506528738e-14
124.992 124.994 20 25 6.221297389829689e-09 2.642988557741724e-14
124.992 124.994 25 30 4.421180019494316e-09 3.112356266656139e-14
124.992 124.994 30 35 3.117228715934158e-09 1.959235760681356e-14
124.992 124.994 35 40 2.172001028306034e-09 1.291205868030508e-14
124.994 124.996 0 5 1.046086046827949e-08 1.58031118955587e-13
124.994 124.996 5 10 1.792112169240733e-08 1.626933283654222e-13
124.994 124.996 10 15 1.515367902536229e-08 3.6738575722833e-13
