#q2lo q2hi qTlo qThi PDF0  uncertainty
124.996 124.998 35 40 6.13230763910135e-08 1.185214191547954e-12
124.998 125 0 5 3.983493198146468e-07 1.160529289510943e-11
124.998 125 5 10 7.195582956346932e-07 3.586720959224957e-11
124.998 125 10 15 6.413734432467667e-07 4.067547980155403e-11
124.998 125 15 20 4.962289811702111e-07 2.801095115528147e-11
124.998 125 20 25 3.695458657031705e-07 1.658352693725311e-11
124.998 125 25 30 2.717803049257276e-07 1.476279927836859e-11
124.998 125 30 35 1.986109647197649e-07 1.064582267195732e-11
124.998 125 35 40 1.44136929251983e-07 7.670695402009085e-12
125 125.002 0 5 3.983888099447848e-07 1.161718715664202e-11
125 125.002 5 10 7.196335275940131e-07 3.589116983006899e-11
125 125.002 10 15 6.414441982039249e-07 4.069889503974046e-11
125 125.002 15 20 4.962861994926536e-07 2.802965304157521e-11
125 125.002 20 25 3.695901591441342e-07 1.659766505603152e-11
125 125.002 25 30 2.718140919975458e-07 1.477386072440194e-11
125 125.002 30 35 1.986365795813922e-07 1.065422058363335e-11
125 125.002 35 40 1.44156261554099e-07 7.677047971501271e-12
125.002 125.004 0 5 1.695315379251591e-07 8.821257525461285e-13
125.002 125.004 5 10 3.062364951582946e-07 4.87062361925647e-12
125.002 125.004 10 15 2.729649168121681e-07 8.117343628200602e-12
125.002 125.004 15 20 2.111943871427927e-07 4.780263869161281e-12
125.002 125.004 20 25 1.572796891806707e-07 1.705400335237452e-12
125.002 125.004 25 30 1.156714212876821e-07 2.367474521049071e-12
125.002 125.004 30 35 8.453087364153833e-08 1.668401041634592e-12
125.002 125.004 35 40 6.13467954518745e-08 1.186926201398698e-12
125.004 125.006 0 5 7.599406022279093e-08 1.486349065219565e-12
125.004 125.006 5 10 1.372739720047132e-07 2.925646638209331e-13
125.004 125.006 10 15 1.223602707416586e-07 2.000030105273749e-12
125.004 125.006 15 20 9.467127311765327e-08 8.563806821050643e-13
125.004 125.006 20 25 7.0503487758981e-08 2.165223089067958e-13
125.004 125.006 25 30 5.185204097109846e-08 3.535390439690035e-13
125.004 125.006 30 35 3.789284119018562e-08 2.299226479525481e-13
125.004 125.006 35 40 2.750020532534895e-08 1.558502649699881e-13
125.006 125.008 0 5 4.135667459191397e-08 8.925366066612404e-13
125.006 125.008 5 10 7.470615670787993e-08 2.945030970001889e-14
125.006 125.008 10 15 6.659031171736296e-08 9.852455855030749e-13
125.006 125.008 15 20 5.152180180480262e-08 3.812496732503592e-13
125.006 125.008 20 25 3.836944091717928e-08 1.87121878171244e-13
125.006 125.008 25 30 2.821906408311616e-08 1.451215739638398e-13
125.006 125.008 30 35 2.062224509869838e-08 9.037081829456358e-14
125.006 125.008 35 40 1.4966386315357e-08 5.951204072300665e-14
125.008 125.01 0 5 2.570013805938185e-08 5.658518676406984e-13
125.008 125.01 5 10 4.642463405029913e-08 4.083335953577035e-12
125.008 125.01 10 15 4.138084083678424e-08 2.852743389058697e-12
125.008 125.01 15 20 3.201730143924224e-08 2.520137614103724e-12
125.008 125.01 20 25 2.384440720828362e-08 2.263569272937122e-12
125.008 125.01 25 30 1.753643029926097e-08 1.432733140946674e-12
125.008 125.01 30 35 1.281553928632601e-08 1.059956041758192e-12
125.008 125.01 35 40 9.300800085895858e-09 7.742812825905112e-13
125.01 125.012 0 5 1.744179320685538e-08 1.22914543976377e-12
125.01 125.012 5 10 3.150626265369088e-08 1.302575495450974e-12
125.01 125.012 10 15 2.808343132032817e-08 6.249974366374736e-13
125.01 125.012 15 20 2.172890156489946e-08 6.966649581398422e-13
125.01 125.012 20 25 1.618235007148156e-08 7.822199001105334e-13
125.01 125.012 25 30 1.190140297648798e-08 4.172394975522914e-13
125.01 125.012 30 35 8.697528801790017e-09 3.137051814816006e-13
125.01 125.012 35 40 6.312211439299412e-09 2.310819088809371e-13
125.012 125.014 0 5 1.258719602920044e-08 6.417096072059212e-13
125.012 125.014 5 10 2.27372042963363e-08 4.954347817130137e-13
125.012 125.014 10 15 2.02671565113769e-08 5.389187778350896e-14
125.012 125.014 15 20 1.56813194893408e-08 1.957970987231082e-13
125.012 125.014 20 25 1.167853648871419e-08 3.363001441838675e-13
125.012 125.014 25 30 8.589085138418391e-09 1.330212583872702e-13
125.012 125.014 30 35 6.276920729000888e-09 1.035623907957479e-13
125.012 125.014 35 40 4.555484201205637e-09 7.762356720854375e-14
125.014 125.016 0 5 9.501799983975815e-09 3.966312032799912e-13
125.014 125.016 5 10 1.716391197935814e-08 2.147299049289481e-13
125.014 125.016 10 15 1.52994043136929e-08 1.016941378017635e-13
125.014 125.016 15 20 1.18376767950984e-08 3.779870042858917e-14
125.014 125.016 20 25 8.816054946652702e-09 1.72137974841448e-13
125.014 125.016 25 30 6.483875955040586e-09 4.018451259357331e-14
125.014 125.016 30 35 4.738451661677303e-09 3.416532834344321e-14
125.014 125.016 35 40 3.438955796271905e-09 2.665588901995029e-14
125.016 125.018 0 5 7.422590544024527e-09 2.741373030693021e-13
125.016 125.018 5 10 1.340813065473228e-08 1.028833846742129e-13
125.016 125.018 10 15 1.195168029956053e-08 1.37473643114826e-13
125.016 125.018 15 20 9.247473504477413e-09 1.529106701509008e-14
125.016 125.018 20 25 6.887044548844502e-09 1.011968060190809e-13
125.016 125.018 25 30 5.065184031171957e-09 6.854629071154733e-15
125.016 125.018 30 35 3.701681140401737e-09 8.760373942857795e-15
125.016 125.018 35 40 2.686528072328009e-09 7.811713501586397e-15
125.018 125.02 0 5 5.956413731071007e-09 2.039347043184093e-13
125.018 125.02 5 10 1.075969411746595e-08 5.335641937448404e-14
125.018 125.02 10 15 9.590983721103116e-09 1.364753720725343e-13
125.018 125.02 15 20 7.42094908534755e-09 3.246171260326775e-14
125.018 125.02 20 25 5.526767970677724e-09 6.623014507997121e-14
125.018 125.02 25 30 4.064765525863891e-09 5.551822957292376e-15
125.018 125.02 30 35 2.970580294822569e-09 1.045722166727311e-15
125.018 125.02 35 40 2.155936227098914e-09 4.081139818465249e-16
125.02 125.022 0 5 4.88450166034608e-09 1.594124180898319e-13
125.02 125.022 5 10 8.823434653438574e-09 2.950047433958241e-14
125.02 125.022 10 15 7.865084609634085e-09 1.246959598315587e-13
125.02 125.022 15 20 6.085578455834295e-09 3.648024349753604e-14
125.02 125.022 20 25 4.532268470217071e-09 4.700412734100924e-14
125.02 125.022 25 30 3.333356972830788e-09 9.949397016629364e-15
125.02 125.022 30 35 2.436069320295518e-09 4.800523202366529e-15
125.02 125.022 35 40 1.76801723446658e-09 2.526726459712579e-15
125.022 125.024 0 5 4.077447449256144e-09 1.290017421322952e-13
125.022 125.024 5 10 7.365599994595227e-09 1.719450079379251e-14
125.022 125.024 10 15 6.56562921900696e-09 1.107644305824202e-13
125.022 125.024 15 20 5.080155288519777e-09 3.559686871334917e-14
125.022 125.024 20 25 3.783491215057491e-09 3.542953337836188e-14
125.022 125.024 25 30 2.782664578565044e-09 1.112049223895765e-14
125.022 125.024 30 35 2.033624177755057e-09 6.063967222849849e-15
125.022 125.024 35 40 1.475943680020118e-09 3.601682090707586e-15
125.024 125.026 0 5 3.454803371812127e-09 1.070640125551784e-13
125.024 125.026 5 10 6.24087435046763e-09 1.047505148002942e-14
125.024 125.026 10 15 5.563090962740864e-09 9.753028061025723e-14
