#q2lo q2hi qTlo qThi PDF0  uncertainty
124.974 124.976 25 30 1.929589118510371e-09 8.372536710504315e-16
124.974 124.976 30 35 1.646130639439277e-09 6.405534629882011e-16
124.974 124.976 35 40 1.402201356579237e-09 1.268176774062712e-15
124.976 124.978 0 5 1.474665635728652e-09 3.740226882461965e-14
124.976 124.978 5 10 3.028740529546317e-09 1.247114325865421e-14
124.976 124.978 10 15 3.209500627224681e-09 2.936595819859053e-14
124.976 124.978 15 20 2.939307848589402e-09 5.600652961203466e-15
124.976 124.978 20 25 2.567714443265848e-09 2.132481107047408e-14
124.976 124.978 25 30 2.204229524686771e-09 1.452075453694576e-15
124.976 124.978 30 35 1.880430721520633e-09 2.785772138668984e-15
124.976 124.978 35 40 1.601785714977972e-09 3.19799684626838e-15
124.978 124.98 0 5 1.707900446728437e-09 4.610222263783435e-14
124.978 124.98 5 10 3.507784863665962e-09 2.019757908163758e-14
124.978 124.98 10 15 3.717151323189002e-09 2.789054608309069e-14
124.978 124.98 15 20 3.404234044672979e-09 8.933776580636533e-16
124.978 124.98 20 25 2.973872760021357e-09 2.956948615746764e-14
124.978 124.98 25 30 2.552899078819154e-09 5.872792032238341e-15
124.978 124.98 30 35 2.17788645822555e-09 6.800857308284517e-15
124.978 124.98 35 40 1.855168266046269e-09 6.74810182220322e-15
124.98 124.982 0 5 2.01116844682011e-09 5.941233366567998e-14
124.98 124.982 5 10 4.130672227282858e-09 3.436153335218031e-14
124.98 124.982 10 15 4.377235606179218e-09 2.1599497346598e-14
124.98 124.982 15 20 4.008765496318917e-09 9.227046843582044e-15
124.98 124.982 20 25 3.501990354567362e-09 4.377796013726529e-14
124.98 124.982 25 30 3.006265842853129e-09 1.461900400980247e-14
124.98 124.982 30 35 2.564661400982292e-09 1.457884874989126e-14
124.98 124.982 35 40 2.184636078613093e-09 1.354234129081536e-14
124.982 124.984 0 5 2.417058133233374e-09 8.147737701631603e-14
124.982 124.984 5 10 4.964337242997433e-09 6.207443021187328e-14
124.982 124.984 10 15 5.260685803458698e-09 3.884444948406306e-15
124.982 124.984 15 20 4.817865268325776e-09 3.127629811484461e-14
124.982 124.984 20 25 4.20881914985979e-09 7.021312379452537e-14
124.982 124.984 25 30 3.613049201766684e-09 3.269990163796947e-14
124.982 124.984 30 35 3.082319075206519e-09 3.042674725503471e-14
124.982 124.984 35 40 2.625594498451726e-09 2.726743744046105e-14
124.984 124.986 0 5 2.979960014062698e-09 1.219495073456995e-13
124.984 124.986 5 10 6.120494540373634e-09 1.208299293835616e-13
124.984 124.986 10 15 6.48588887619992e-09 4.224991346473341e-14
124.984 124.986 15 20 5.939957625536995e-09 8.15899769304641e-14
124.984 124.986 20 25 5.189078956635163e-09 1.240948926765602e-13
124.984 124.986 25 30 4.454562589839441e-09 7.257033574894321e-14
124.984 124.986 30 35 3.800229706875279e-09 6.502577448553381e-14
124.984 124.986 35 40 3.237135674369047e-09 5.70516891478801e-14
124.986 124.988 0 5 3.79633748202555e-09 2.062194762177145e-13
124.986 124.988 5 10 7.797273987788572e-09 2.586643555099863e-13
124.986 124.988 10 15 8.262808533652893e-09 1.649849615186318e-13
124.986 124.988 15 20 7.56733720629673e-09 2.056541194837357e-13
124.986 124.988 20 25 6.610759134442321e-09 2.468345624805357e-13
124.986 124.988 25 30 5.675018718009608e-09 1.687020411186295e-13
124.986 124.988 30 35 4.84142430363668e-09 1.47882631646489e-13
124.986 124.988 35 40 4.124062065758745e-09 1.280821405281584e-13
124.988 124.99 0 5 5.050846174138134e-09 4.119408702816439e-13
124.988 124.99 5 10 1.037394736012446e-08 6.272512112494415e-13
124.988 124.99 10 15 1.099337004587812e-08 5.19874085234067e-13
124.988 124.99 15 20 1.00681063572795e-08 5.485137540162565e-13
124.988 124.99 20 25 8.795435552246319e-09 5.683255230440988e-13
124.988 124.99 25 30 7.550478885061823e-09 4.305534128288556e-13
124.988 124.99 30 35 6.44141691162809e-09 3.725644927457795e-13
124.988 124.99 35 40 5.486993539699009e-09 3.201613966640078e-13
124.99 124.992 0 5 7.13337707961246e-09 1.130444690432404e-13
124.99 124.992 5 10 1.465156339134975e-08 2.345449798486286e-15
124.99 124.992 10 15 1.552662423517109e-08 1.576922013368612e-13
124.99 124.992 15 20 1.421978934646316e-08 6.680122487725777e-14
124.99 124.992 20 25 1.242226176213975e-08 3.721219972813592e-14
124.99 124.992 25 30 1.066403384782338e-08 2.949004303453838e-14
124.99 124.992 30 35 9.09764991046653e-09 1.95177379233422e-14
124.99 124.992 35 40 7.749667762417127e-09 1.361724752412658e-14
124.992 124.994 0 5 1.09816918094392e-08 1.680981965103369e-13
124.992 124.994 5 10 2.255588997287624e-08 1.321318056809472e-14
124.992 124.994 10 15 2.390314043444671e-08 2.512354351012362e-13
124.992 124.994 15 20 2.18913542304393e-08 1.114498991004672e-13
124.992 124.994 20 25 1.912411930892605e-08 4.871661934954286e-14
124.992 124.994 25 30 1.641736561286347e-08 5.208296545115668e-14
124.992 124.994 30 35 1.400593927847104e-08 3.58108869970206e-14
124.992 124.994 35 40 1.193073214050843e-08 2.590613613991921e-14
