#q2lo q2hi qTlo qThi PDF0  uncertainty
124.966 124.968 10 15 2.466291658701156e-09 4.783908252901389e-14
124.966 124.968 15 20 1.833066570341174e-09 1.597369589323173e-14
124.966 124.968 20 25 1.318143161317189e-09 1.26816054109814e-14
124.966 124.968 25 30 9.37398973707097e-10 5.271489769969077e-15
124.966 124.968 30 35 6.613519762796778e-10 3.045006747848645e-15
124.966 124.968 35 40 4.611278208875504e-10 1.910469229812826e-15
124.968 124.97 0 5 1.792282933541145e-09 6.326649794743491e-14
124.968 124.97 5 10 3.091141178297583e-09 6.645400522226371e-15
124.968 124.97 10 15 2.623364349918902e-09 4.96284812761509e-14
124.968 124.97 15 20 1.949820846517317e-09 1.606189661594769e-14
124.968 124.97 20 25 1.402107090528372e-09 1.415094226311037e-14
124.968 124.97 25 30 9.971149788510589e-10 5.132934765367228e-15
124.968 124.97 30 35 7.034865173671579e-10 2.904524332286425e-15
124.968 124.97 35 40 4.905092693530631e-10 1.799049695367828e-15
124.97 124.972 0 5 1.914100356838996e-09 6.879849036892349e-14
124.97 124.972 5 10 3.30125805037432e-09 9.255398962416702e-15
124.97 124.972 10 15 2.801701616786567e-09 5.11526798093474e-14
124.97 124.972 15 20 2.082381328985169e-09 1.578604163081195e-14
124.97 124.972 20 25 1.497438039195333e-09 1.608813850935858e-14
124.97 124.972 25 30 1.064915309654995e-09 4.783523605355232e-15
124.97 124.972 30 35 7.513252013903994e-10 2.609538127931323e-15
124.97 124.972 35 40 5.238683466323743e-10 1.578093781517671e-15
124.972 124.974 0 5 2.0535910190493e-09 7.567972536450976e-14
124.972 124.974 5 10 3.54185847706647e-09 1.319481402182716e-14
124.972 124.974 10 15 3.005911782935533e-09 5.208684685928269e-14
124.972 124.974 15 20 2.234173427555379e-09 1.486890468617011e-14
124.972 124.974 20 25 1.606599381172316e-09 1.873673809115153e-14
124.972 124.974 25 30 1.142551936032293e-09 4.076196210343863e-15
124.972 124.974 30 35 8.061041812458322e-10 2.055062836417011e-15
124.972 124.974 35 40 5.620670478503801e-10 1.174015242475697e-15
124.974 124.976 0 5 2.21487709522525e-09 8.454158573028067e-14
124.974 124.976 5 10 3.820052524307254e-09 1.932274459110024e-14
124.974 124.976 10 15 3.242029486635066e-09 5.182588796099349e-14
124.974 124.976 15 20 2.409682741151146e-09 1.281403734303413e-14
124.974 124.976 20 25 1.732816919951587e-09 2.251138753631321e-14
124.974 124.976 25 30 1.232319072329563e-09 2.750171046110865e-15
124.974 124.976 30 35 8.694422049745791e-10 1.055505509868059e-15
124.974 124.976 35 40 6.062341588169731e-10 4.569026288983363e-16
124.976 124.978 0 5 2.403460381288584e-09 9.646219682293965e-14
124.976 124.978 5 10 4.145329860544546e-09 2.919325769487679e-14
124.976 124.978 10 15 3.518109033852231e-09 4.921565205296573e-14
124.976 124.978 15 20 2.614896099176768e-09 8.701552791182278e-15
124.976 124.978 20 25 1.880396060129496e-09 2.815017808027978e-14
124.976 124.978 25 30 1.337278750995469e-09 3.258499848448709e-16
124.976 124.978 30 35 9.434997748006396e-10 7.296320822076403e-16
124.976 124.978 35 40 6.578762401653317e-10 8.113320460494952e-16
124.978 124.98 0 5 2.626845993964248e-09 1.133907816003942e-13
124.978 124.98 5 10 4.530635521824345e-09 4.575404659123938e-14
124.978 124.98 10 15 3.845137439685197e-09 4.197791666090568e-14
124.978 124.98 15 20 2.857980227135677e-09 7.539830415654147e-16
124.978 124.98 20 25 2.05520986372731e-09 3.703517508276254e-14
124.978 124.98 25 30 1.461607929857079e-09 4.118191687383293e-15
